id,title,artist,file_path,duration_ms,item_type,energy_category,last_played_timestamp,intro_duration,outro_duration,music_pool_id,punch_ms,bpm,source_url,year,explicit,verified,is_served,cue_in_ms,cue_out_ms,danceability,energy_score,valence
10287,ADBREAK_90000 - 2025 -2,Live365,365 Commercials/90/Live365 - ADBREAK_90000 - 2025 -2.mp3,89851,Commercial,Throwbacks,1781502798.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10288,ADBREAK_90000 - 2025 -3,Live365,365 Commercials/90/Live365 - ADBREAK_90000 - 2025 -3.mp3,89793,Commercial,Throwbacks,1781472602.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10289,ADBREAK_90000 - 2025 -4,Live365,365 Commercials/90/Live365 - ADBREAK_90000 - 2025 -4.mp3,89607,Commercial,Throwbacks,1781289566.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10290,ADBREAK_90000 - 2025 -5,Live365,365 Commercials/90/Live365 - ADBREAK_90000 - 2025 -5.mp3,89756,Commercial,Throwbacks,1781516390.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10564,Between the Sheets,The Isley Brothers,Music/The Isley Brothers - Between the Sheets.mp3,340062,Music,Old School,1784867360.0,24126,7882,7.0,16742,83,https://music.youtube.com/watch?v=TNDb8qKZEX8,1983.0,0,1,0,0,0,0.72,0.3299999999999999,0.0
10570,They Don't Know,Jon B,Music/Jon B - They Don't Know.mp3,273006,Music,Unassigned,1785419726.0,8824,4747,3.0,30720,125,https://music.youtube.com/playlist?list=OLAK5uy_ms4Yj4liT8k-4cy_9ZeRZLAJMIblkIxd0,1998.0,0,1,0,0,0,0.7,0.38,0.0
10572,If I Ever Fall In Love,Shai,Music/Shai - If I Ever Fall In Love.mp3,289750,Music,Unassigned,1784901310.0,743,10807,3.0,20457,128,https://music.youtube.com/playlist?list=OLAK5uy_mEoyPm-muNe3cjUaByJ2YZUrsGtvk4zgI,1992.0,0,1,0,0,0,0.64,0.9,0.0
10598,Crazy Kind of Love (From “True to the Game 2”),Tamar Braxton,Music/Tamar Braxton - Crazy Kind of Love (From “True to the Game 2”).mp3,145058,Music,Unassigned,1785458303.0,7268,5885,1.0,52268,103,https://music.youtube.com/watch?v=AfqS87bvXOU,2020.0,0,1,0,0,0,0.0,0.0,0.0
10605,Nobody But Jesus,Josh Copeland,Shows/InspirationalChurch/Josh Copeland - Nobody But Jesus.mp3,198661,Music,Classics,1783248718.0,1324,800,5.0,46695,112,https://music.youtube.com/playlist?list=OLAK5uy_k47iSLL4a4myg4PNgadLs66lCUfANc_90,2024.0,0,0,0,0,0,0.0,0.0,0.0
10607,Promises,Lisa Knowles-Smith,Shows/InspirationalChurch/Lisa Knowles-Smith - Promises.mp3,450456,Music,Classics,1783255627.0,4319,7417,5.0,11401,103,https://music.youtube.com/playlist?list=OLAK5uy_m98Ix95i5Vfvouy0huFzHj_ZOdYxcLC8U,2025.0,0,0,0,0,0,0.0,0.0,0.0
10610,Miracle Worker (feat. Kierra Sheard & Rich Tolbert Jr.),JJ Hairston,Shows/InspirationalChurch/JJ Hairston - Miracle Worker (feat. Kierra Sheard & Rich Tolbert Jr.).mp3,519654,Music,Classics,1783249204.0,14048,4515,5.0,27934,144,https://music.youtube.com/watch?v=_9w0eCU1y0Y,2020.0,0,0,0,0,0,0.0,0.0,0.0
10639,My Love Is Your Love,Whitney Houston,Music/Whitney Houston - My Love Is Your Love.mp3,261616,Music,Unassigned,1784794237.0,906,8973,3.0,23452,83,https://music.youtube.com/playlist?list=OLAK5uy_l9n3Z4MOSt4GhI5hkgoPURKbtlGSFmR8o,1996.0,0,1,0,0,0,0.77,0.94,0.0
10660,Love Ambition (Call On Me),Jason Weaver,Music/Jason Weaver - Love Ambition (Call On Me).mp3,362527,Music,Unassigned,1784915452.0,15047,13246,3.0,13003,81,https://music.youtube.com/playlist?list=OLAK5uy_nj-LZ2Dxc87lyLfDJrwNPUepQkgz7-quM,1995.0,0,1,0,0,0,0.0,0.0,0.0
