Track Name,File Path,Source_URL,duration_ms,item_type,energy_category,Intro_Duration,Punch_Ms,outro_duration,bpm,Bitrate,Lyrics,Year,Art Ratio,Length
Bill Withers - Ain’t No Sunshine [Just As I Am],Z:/Old School 70s80s/Bill Withers - Ain’t No Sunshine [Just As I Am].mp3,,122000,Music,,10000,0,20000,0,320,Unknown,1971,1.0,2:02
Teena Marie - Lovergirl [Starchild],Z:/Old School 70s80s/Teena Marie - Lovergirl [Starchild].mp3,,287000,Music,,10000,0,20000,0,320,Unknown,1984,1.0,4:47
Nu Shooz - I Can’t Wait [Poolside],Z:/Old School 70s80s/Nu Shooz - I Can’t Wait [Poolside].mp3,,323000,Music,,10000,0,20000,0,320,Unknown,1986,1.0,5:23
Michael Jackson - Human Nature [Thriller],Z:/Old School 70s80s/Michael Jackson - Human Nature [Thriller].mp3,,242000,Music,,10000,0,20000,0,320,Unknown,1982,1.0,4:02
Guy - Piece of My Love [Guy (special edition)],Z:/Old School 70s80s/Guy - Piece of My Love [Guy (special edition)].mp3,,315000,Music,,10000,0,20000,0,320,Unknown,2007,1.0,5:15
New Edition - If It Isn’t Love [Heart Break],Z:/Old School 70s80s/New Edition - If It Isn’t Love [Heart Break].mp3,,309000,Music,,10000,0,20000,0,320,Unknown,1988,1.0,5:09
Atlantic Starr - Send for Me [Radiant],Z:/Old School 70s80s/Atlantic Starr - Send for Me [Radiant].mp3,,311000,Music,,10000,0,20000,0,320,Unknown,1981,1.0,5:11
George Benson - Give Me the Night [Give Me the Night],Z:/Old School 70s80s/George Benson - Give Me the Night [Give Me the Night].mp3,,297000,Music,,10000,0,20000,0,320,Unknown,1980,1.0,4:57
Lisa Lisa & Cult Jam - Head to Toe [Spanish Fly],Z:/Old School 70s80s/Lisa Lisa & Cult Jam - Head to Toe [Spanish Fly].mp3,,303000,Music,,10000,0,20000,0,320,Unknown,1987,1.0,5:03
Klymaxx - I Miss You [Meeting in the Ladies Room],Z:/Old School 70s80s/Klymaxx - I Miss You [Meeting in the Ladies Room].mp3,,333000,Music,,10000,0,20000,0,320,Unknown,1984,1.0,5:33
Smokey Robinson - One Heartbeat [One Heartbeat],Z:/Old School 70s80s/Smokey Robinson - One Heartbeat [One Heartbeat].mp3,,239000,Music,,10000,0,20000,0,320,Unknown,1987,1.0,3:59
Surface - Shower Me With Your Love [The Best of Surface_ A Nice Time 4 Lovin'],Z:/Old School 70s80s/Surface - Shower Me With Your Love [The Best of Surface_ A Nice Time 4 Lovin'].mp3,,291000,Music,,10000,0,20000,0,320,Unknown,1991,1.0,4:51
Guy - Groove Me [Guy],Z:/Old School 70s80s/Guy - Groove Me [Guy].mp3,,204000,Music,,10000,0,20000,0,320,Unknown,1988,1.0,3:24
Diana Ross - Upside Down [20th Century Masters_ The Millennium Collection_ The Best of Diana Ross],Z:/Old School 70s80s/Diana Ross - Upside Down [20th Century Masters_ The Millennium Collection_ The Best of Diana Ross].mp3,,241000,Music,,10000,0,20000,0,320,Unknown,2000,1.0,4:01
Loose Ends - Slow Down [Zagora],Z:/Old School 70s80s/Loose Ends - Slow Down [Zagora].mp3,,293000,Music,,10000,0,20000,0,320,Unknown,1986,1.0,4:53
Rick James feat. Smokey Robinson - Ebony Eyes [Cold Blooded (Expanded Edition)],Z:/Old School 70s80s/Rick James feat. Smokey Robinson - Ebony Eyes [Cold Blooded (Expanded Edition)].mp3,,303000,Music,,10000,0,20000,0,320,Unknown,2014,1.0,5:03
Danny Boy - Come When I Call [Murder Was the Case],Z:/Old School 70s80s/Danny Boy - Come When I Call [Murder Was the Case].mp3,,295000,Music,,10000,0,20000,0,320,Unknown,1994,1.0,4:55
KC and the Sunshine Band - Boogie Shoes [KC and the Sunshine Band],Z:/Old School 70s80s/KC and the Sunshine Band - Boogie Shoes [KC and the Sunshine Band].mp3,,129000,Music,,10000,0,20000,0,320,Unknown,1975,1.0,2:09
Zapp & Roger - I Want to Be Your Man [All The Greatest Hits],Z:/Old School 70s80s/Zapp & Roger - I Want to Be Your Man [All The Greatest Hits].mp3,,247000,Music,,10000,0,20000,0,320,Unknown,1993,1.0,4:07
Prince - Kiss [Parade - Music From the Motion Picture Under the Cherry Moon],Z:/Old School 70s80s/Prince - Kiss [Parade - Music From the Motion Picture Under the Cherry Moon].mp3,,226000,Music,,10000,0,20000,0,320,Unknown,1986,1.0,3:46
The Isley Brothers - Between the Sheets [Between the Sheets],Z:/Old School 70s80s/The Isley Brothers - Between the Sheets [Between the Sheets].mp3,,336000,Music,,10000,0,20000,0,320,Unknown,2011,1.0,5:36
Aretha Franklin - Chain of Fools [30 Greatest Hits],Z:/Old School 70s80s/Aretha Franklin - Chain of Fools [30 Greatest Hits].mp3,,166000,Music,,10000,0,20000,0,320,Unknown,1985,1.0,2:46
Teena Marie - Ooo La La La [Love Songs],Z:/Old School 70s80s/Teena Marie - Ooo La La La [Love Songs].mp3,,317000,Music,,10000,0,20000,0,320,Unknown,2000,1.0,5:17
Lisa Stansfield - All Around the World [Affection],Z:/Old School 70s80s/Lisa Stansfield - All Around the World [Affection].mp3,,263000,Music,,10000,0,20000,0,320,Unknown,2014,1.0,4:23
Cameo - Candy [Word Up!],Z:/Old School 70s80s/Cameo - Candy [Word Up!].mp3,,331000,Music,,10000,0,20000,0,320,Unknown,1986,1.0,5:31
Alicia Keys - If I Ain’t Got You [Unplugged],Z:/Old School 70s80s/Alicia Keys - If I Ain’t Got You [Unplugged].mp3,,246000,Music,,10000,0,20000,0,320,Unknown,2005,1.0,4:06
DeBarge - Love Me in a Special Way [In a Special Way],Z:/Old School 70s80s/DeBarge - Love Me in a Special Way [In a Special Way].mp3,,249000,Music,,10000,0,20000,0,320,Unknown,1983,1.0,4:09
Ready for the World - Oh Sheila [Ready for the World],Z:/Old School 70s80s/Ready for the World - Oh Sheila [Ready for the World].mp3,,240000,Music,,10000,0,20000,0,320,Unknown,1985,1.0,4:00
